Sample,SNPs,Total Sequences,Sequence length,%GC,avg_sequence_length,raw_total_sequences,reads_mapped,reads_unmapped,reads_paired,average_quality,reads_mapped_percent,reads_unmapped_percent,library_type,Mean depth,Collection,Collection.1,country of isolation,continent of isolation,United Nations Geographic Region,main_lineage,sub_lineage,DR_type,num_dr_variants,Curated lineage (SITVIT2),Spoligo Binary
DRR188766,1530,1964428,30-350,65,271.6185647934157,1912084,1894581,17503,1912084,30.8,99.0846113455267,0.9153886544733392,paired_end,114.6099999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188767,1076,1683317,30-350,65,281.9737518245227,1645222,1626808,18414,1645222,30.6,98.88075894924818,1.119241050751814,paired_end,102.1099999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,,▪▪▫▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188768,1042,2017594,30-350,65,284.5575393265444,1974158,1955798,18360,1974158,30.7,99.06998325362001,0.9300167463799756,paired_end,123.8499999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188769,1461,1387016,30-350,65,268.0967818684139,1345538,1331128,14410,1345538,30.9,98.92905291415032,1.070947085849675,paired_end,80.00999999999989,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188770,412,2552290,30-350,65,276.6927410286449,2465104,2448831,16273,2465104,31.8,99.33986557970779,0.6601344202922067,paired_end,153.4899999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T2,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▫▪▪▪
DRR188771,1498,2324385,30-350,65,277.1256586150745,2240106,2223795,16311,2240106,31.5,99.27186481354008,0.7281351864599265,paired_end,139.3899999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188772,1518,2340720,30-350,65,279.1878131515089,2261814,2241567,20247,2261814,31.6,99.10483355395272,0.8951664460472877,paired_end,141.5199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188773,411,2069029,30-350,65,284.8680235994758,2010088,1999092,10996,2010088,31.5,99.45295927342484,0.5470407265751549,paired_end,128.79,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188774,2221,2292231,30-350,65,286.4748107847769,2229306,2210420,18886,2229306,31.5,99.15283052214457,0.8471694778554402,paired_end,142.7199999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,,,Sensitive,0,EAI2-Manila,▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▪▪▪▪▪▪▪▫▫▫▫▪▫▪▪▪▪▪▪▪▪▪
DRR188775,887,3105948,30-350,65,287.4513024686827,3033038,3010065,22973,3033038,31.6,99.24257460671446,0.757425393285544,paired_end,193.9500000000004,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.4.2,Sensitive,0,T2,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▫▪▪▪
DRR188776,1515,2297888,30-350,65,285.8647357921708,2231714,2214503,17211,2231714,31.5,99.22879903070015,0.7712009692998296,paired_end,142.5999999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188777,400,2168842,30-350,65,284.1806475529338,2112904,2101683,11221,2112904,31.6,99.4689299655829,0.5310700344170866,paired_end,134.77,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188778,441,2299139,30-350,65,288.5433007747683,2231700,2219658,12042,2231700,32.7,99.46041134561096,0.5395886543890308,paired_end,146.4699999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188779,1518,2283680,30-350,65,281.417525222448,2191948,2174613,17335,2191948,31.6,99.20915094701151,0.7908490529884833,paired_end,139.0599999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188780,1498,2719725,30-350,65,284.385182325419,2639840,2623245,16595,2639840,31.5,99.37136341596458,0.6286365840353961,paired_end,167.86,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188781,1503,2386619,30-350,65,286.7233446142849,2316256,2296900,19356,2316256,31.4,99.1643410745617,0.8356589254382936,paired_end,148.3399999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188782,935,2599282,30-350,65,287.2733808797968,2530604,2514846,15758,2530604,31.4,99.37730280992207,0.6226971900779419,paired_end,162.4099999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.3,Sensitive,0,LAM9,▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188783,1079,2682013,30-350,65,288.8842574588564,2615990,2598852,17138,2615990,31.4,99.34487517154119,0.6551248284588244,paired_end,168.6299999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188784,1535,2456628,30-350,65,281.8091489635386,2373794,2354933,18861,2373794,31.6,99.20544916702964,0.7945508329703419,paired_end,150.2499999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Pre-MDR,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188785,1518,2518478,30-350,65,284.5667319706585,2439106,2421020,18086,2439106,31.4,99.25849881062979,0.7415011893702037,paired_end,155.4799999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188786,1051,2566942,30-350,65,290.1784372221888,2501438,2483917,17521,2501438,31.4,99.29956289142487,0.7004371085751476,paired_end,162.2699999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188787,1496,1505522,30-350,65,280.7662883704124,1453952,1442453,11499,1453952,31.6,99.20912107139713,0.79087892860287,paired_end,92.11999999999986,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▫▫▪▪▪▪
DRR188788,1519,1642566,30-350,65,285.4779716614127,1595796,1585076,10720,1595796,31.4,99.32823493729776,0.6717650627022502,paired_end,102.4099999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188789,1554,1979990,30-350,65,283.9166066495285,1922746,1911004,11742,1922746,31.4,99.38931091262184,0.6106890873781561,paired_end,122.6299999999996,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▫▪▪▪▪▪▪▪
DRR188790,1481,1970420,30-350,65,283.5037910699242,1915350,1899350,16000,1915350,31.5,99.16464353773462,0.8353564622653823,paired_end,121.6799999999996,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188791,428,2109194,30-350,65,286.5329628284549,2062076,2050577,11499,2062076,31.4,99.44235808961454,0.5576419103854562,paired_end,132.2599999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,LAM9,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▫▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188792,1524,1866458,30-350,65,281.5893248066659,1796064,1783867,12197,1796064,33.7,99.32090393215387,0.6790960678461346,paired_end,115.8499999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188793,420,2182825,30-350,65,278.4987151970496,2125604,2099726,25878,2125604,30.0,98.7825578047463,1.217442195253678,paired_end,128.61,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188794,1535,1742065,30-350,65,283.9089701015749,1695714,1683067,12647,1695714,32.6,99.25417847585148,0.7458215241485298,paired_end,108.9299999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188795,902,1862884,30-350,65,286.5350574700303,1819790,1800403,19387,1819790,32.7,98.93465729562203,1.065342704377978,paired_end,117.35,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.5,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188796,888,1779027,30-350,65,285.7049982940113,1730812,1718558,12254,1730812,32.7,99.29200860636509,0.707991393634895,paired_end,112.2299999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.5,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188797,406,1681194,30-350,65,286.0295194962628,1641412,1633880,7532,1641412,32.7,99.54112678596232,0.45887321403767,paired_end,106.7,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188798,1485,2094634,30-350,65,281.134190507745,2026194,2007318,18876,2026194,31.2,99.06840115013668,0.93159884986334,paired_end,127.4199999999996,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188799,1529,2621108,30-350,65,281.3125739191212,2541568,2518267,23301,2541568,31.4,99.08320375453265,0.9167962454673652,paired_end,159.2999999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188800,1468,1911140,30-350,65,282.3301788461337,1849266,1836273,12993,1849266,31.3,99.29739691315365,0.7026030868463488,paired_end,117.2099999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188801,1562,2058054,30-350,65,283.6932208775863,1988682,1975137,13545,1988682,31.3,99.31889563037228,0.6811043696277232,paired_end,126.7399999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188802,1507,2043479,30-350,65,283.2583070342293,1975094,1958243,16851,1975094,31.4,99.14682541691687,0.8531745830831343,paired_end,125.3299999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188803,1528,1971537,30-350,65,285.8623713376924,1913148,1897642,15506,1913148,31.3,99.1895033734975,0.8104966265024974,paired_end,122.2599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188804,1531,2237383,30-350,65,278.6580831265813,2154830,2135686,19144,2154830,31.4,99.11157724739307,0.8884227526069343,paired_end,134.6499999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188805,1574,1923543,30-350,65,275.6829933097414,1844914,1827191,17723,1844914,32.4,99.03935901619265,0.9606409838073752,paired_end,115.5599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188806,1492,2253887,30-350,65,278.3686032174639,2168130,2150634,17496,2168130,32.2,99.193037317873,0.8069626821269943,paired_end,136.7599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188807,1521,1664409,30-350,65,275.5885650702442,1593832,1578332,15500,1593832,32.4,99.0275010164183,0.9724989835817076,paired_end,100.1299999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Pre-MDR,2,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188808,1512,1525498,30-350,65,279.0678388303361,1467176,1455455,11721,1467176,32.2,99.20111833890414,0.798881661095874,paired_end,93.22999999999986,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188809,1521,1708229,30-350,65,281.0597127200159,1643078,1629392,13686,1643078,32.4,99.16705110773806,0.8329488922619621,paired_end,104.9699999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,2,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188810,1488,1746601,30-350,65,277.5057108063032,1677022,1661723,15299,1677022,32.3,99.0877281275976,0.9122718724023896,paired_end,105.8799999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188811,1059,1988901,30-350,65,283.0001784905332,1914146,1898490,15656,1914146,32.2,99.18208955847672,0.8179104415232693,paired_end,122.9399999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▫▫
DRR188812,1538,2297912,30-350,65,277.8254345684256,2207298,2184873,22425,2207298,32.3,98.98405199479186,1.015948005208178,paired_end,138.9199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188813,1532,2399806,30-350,65,280.8898210938718,2313254,2293857,19397,2313254,32.2,99.16148421228279,0.8385157877172157,paired_end,147.0199999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188814,1470,2044414,30-350,65,286.1974218529124,1975976,1958049,17927,1975976,32.2,99.09275213868996,0.9072478613100564,paired_end,127.8099999999996,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188815,398,2158793,30-350,65,284.4234532907972,2092858,2077441,15417,2092858,32.2,99.26335183753508,0.7366481624649164,paired_end,134.78,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,H3,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▪▫▫▫▫▪▪▪▪▪▪▪
DRR188816,1165,2119816,30-350,63,279.2934528279813,2063344,1651356,411988,2063344,32.4,80.03299498290154,19.96700501709845,paired_end,104.1699999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188817,1580,2460420,30-350,65,280.8206842734168,2371844,2352221,19623,2371844,32.4,99.17266902882315,0.8273309711768565,paired_end,150.5299999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188818,2201,2420420,30-350,65,282.0794267110667,2337866,2315201,22665,2337866,32.3,99.03052612938468,0.9694738706153389,paired_end,148.2999999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage1,lineage1.2.1,Sensitive,0,EAI2-Manila,▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▪▪▪▪▪▪▪▫▫▫▫▪▫▪▪▪▪▪▪▪▪▪
DRR188819,422,2299544,30-350,65,283.2146843026269,2219936,2205683,14253,2219936,32.3,99.35795446355209,0.6420455364478976,paired_end,142.7999999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188820,1581,2085896,30-350,65,277.3009661076103,1999374,1982677,16697,1999374,32.6,99.16488861013495,0.8351113898650278,paired_end,126.3599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188821,930,2798128,30-350,65,284.9033775438436,2706012,2690489,15523,2706012,32.4,99.42635139829387,0.5736486017061271,paired_end,174.55,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.3,Sensitive,0,LAM9,▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188822,1062,2852938,30-350,65,283.8216736571212,2750438,2728117,22321,2750438,32.5,99.18845652946912,0.8115434705308754,paired_end,176.7699999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188823,1029,2552589,30-350,65,283.7049152840508,2470600,2453078,17522,2470600,32.5,99.29077956771636,0.7092204322836558,paired_end,158.5599999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.1.1.3,Sensitive,0,X3,▪▪▪▫▫▫▫▫▫▫▫▫▪▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188824,1527,2356424,30-350,65,281.0548585483767,2275806,2259447,16359,2275806,32.5,99.28117774537901,0.7188222546210001,paired_end,144.9799999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188825,1553,2835980,30-350,65,276.0062701429488,2704630,2680470,24160,2704630,32.5,99.10671700010721,0.8932829998927765,paired_end,170.4300000000001,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188826,937,2876328,30-350,65,285.4551810502836,2786068,2765987,20081,2786068,32.6,99.27923510840368,0.7207648915963286,paired_end,179.9099999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.5,Other,1,Unknown,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪
DRR188827,1505,2234187,30-350,65,280.4565454905968,2160114,2144328,15786,2160114,32.5,99.2692052363903,0.7307947636096984,paired_end,137.1599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188828,1522,2408117,30-350,65,280.3776602216587,2342532,2324567,17965,2342532,33.8,99.2330947880328,0.7669052119672218,paired_end,148.7499999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188829,1510,1629676,30-350,65,272.4334959832507,1563130,1548598,14532,1563130,31.8,99.07032684421641,0.929673155783588,paired_end,96.44999999999979,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
